id,d_elect,mean_Z,del_Z,mode_Z,L2_norm,L3_norm,mean_group,del_group,mode_group,mean_period,del_period,mode_period,mean_val,del_val,mode_val,mean_electroneg,del_electroneg,mode_electroneg,entropy,cell_area,n_metal,mag_state
Fe2S2-0a052d50ac61,6,21,5,21,0.707,0.63,12,8,12,3.5,0.5,3.5,7,1,7,2.205,0.375,2.205,0.693,11.87946,2,1
S2V2-adad9799de05,3,19.5,3.5,19.5,0.707,0.63,10.5,11,10.5,3.5,0.5,3.5,5.5,0.5,5.5,2.105,0.475,2.105,0.693,12.64062,2,1
BrClV-878148656c6a,3,25,6.667,25,0.577,0.481,13,10.667,13,3.667,0.444,3.667,6.333,0.889,6.333,2.583,0.636,2.583,1.099,12.17251,1,1
Cl2Fe2-c233ed259213,6,21.5,4.5,21.5,0.707,0.63,12.5,9,12.5,3.5,0.5,3.5,7.5,0.5,7.5,2.495,0.665,2.495,0.693,8.95381,2,1
In2Te2-49131827d51a,0,50.5,1.5,50.5,0.707,0.63,14.5,3,14.5,5,0,5,4.5,1.5,4.5,1.94,0.16,1.94,0.693,36.2019,2,-1
Al2Te4-3426159e38da,0,39,17.333,52,0.745,0.693,15,2.667,16,4.333,0.889,5,5,1.333,6,1.937,0.218,2.1,0.637,24.29604,2,-1
Br2Mn2-2166878e6b59,5,30,5,30,0.707,0.63,12,10,12,4,0,4,7,0,7,2.255,0.705,2.255,0.693,10.77299,2,1
Sc2Se2-787760c30b65,1,27.5,6.5,27.5,0.707,0.63,9.5,13,9.5,4,0,4,4.5,1.5,4.5,1.955,0.595,1.955,0.693,16.63161,2,1
Ca2I2-946217a67549,0,36.5,16.5,36.5,0.707,0.63,9.5,15,9.5,4.5,0.5,4.5,4.5,2.5,4.5,1.83,0.83,1.83,0.693,24.25019,2,1
Cr2F2-29321554cfde,5,16.5,7.5,16.5,0.707,0.63,11.5,11,11.5,3,1,3,6.5,0.5,6.5,2.82,1.16,2.82,0.693,10.70732,2,1
Mn2O2-6a0e9471bfec,5,16.5,8.5,16.5,0.707,0.63,11.5,9,11.5,3,1,3,6.5,0.5,6.5,2.495,0.945,2.495,0.693,13.91223,2,1
F2Mo2-88413bba202f,5,25.5,16.5,25.5,0.707,0.63,11.5,11,11.5,3.5,1.5,3.5,6.5,0.5,6.5,3.07,0.91,3.07,0.693,12.4727,2,1
Te2Ti2-ab4d9d152e7a,2,37,15,37,0.707,0.63,10,12,10,4.5,0.5,4.5,5,1,5,1.82,0.28,1.82,0.693,18.17188,2,1
Mn2Se2-2d3aa76e2b84,5,29.5,4.5,29.5,0.707,0.63,11.5,9,11.5,4,0,4,6.5,0.5,6.5,2.05,0.5,2.05,0.693,14.89036,2,1
Cd2S2-d7f9557e8b3a,10,32,16,32,0.707,0.63,14,4,14,4,1,4,4,2,4,2.135,0.445,2.135,0.693,26.91139,2,-1
Pb2Se4-129ec20b7c07,10,50,21.333,34,0.745,0.693,15.333,1.778,16,4.667,0.889,4,5.333,0.889,6,2.323,0.302,2.55,0.637,37.92864,2,-1
Tl2Se4-b7166f011e4b,10,49.667,20.889,34,0.745,0.693,15,2.667,16,4.667,0.889,4,5,1.333,6,2.24,0.413,2.55,0.637,41.78898,2,-1
S2V2-bb9749185f6d,3,19.5,3.5,19.5,0.707,0.63,10.5,11,10.5,3.5,0.5,3.5,5.5,0.5,5.5,2.105,0.475,2.105,0.693,9.65832,2,1
CrCl2-e1c2b9550daf,5,19.333,3.111,17,0.745,0.693,13.333,9.778,17,3.333,0.444,3,6.667,0.444,7,2.66,0.667,3.16,0.637,13.91447,1,1
MnSe2-694e0120ce28,5,31,4,34,0.745,0.693,13,8,16,4,0,4,6.333,0.444,6,2.217,0.444,2.55,0.637,14.61368,1,1
NiF2-6755a46fb425,8,15.333,8.444,9,0.745,0.693,14.667,6.222,17,2.667,0.889,2,8,1.333,7,3.29,0.92,3.98,0.637,11.79317,1,1
OsF2-55cb8ea5bcf6,6,31.333,29.778,9,0.745,0.693,14,8,17,3.333,1.778,2,7.333,0.444,7,3.387,0.791,3.98,0.637,6.89568,1,1
TiBr2-e4061415199d,2,30.667,5.778,35,0.745,0.693,12.667,11.556,17,4,0,4,6,1.333,7,2.487,0.631,2.96,0.637,13.49058,1,1
YF2-0161fd6e3933,1,19,13.333,9,0.745,0.693,12.333,12.444,17,3,1.333,2,5.667,1.778,7,3.06,1.227,3.98,0.637,11.50171,1,1
CCr2F2-7840f545291c,5,14.4,7.68,24,0.6,0.514,12,9.6,6,2.8,0.96,4,6,0.8,6,2.766,0.971,1.66,1.055,7.87553,2,1
CTi2-9d6a455e18c1,2,16.667,7.111,22,0.745,0.693,7.333,8.889,4,3.333,0.889,4,4,0,4,1.877,0.449,1.54,0.637,8.09159,2,1
NHf2-6362028943d3,2,50.333,28.889,72,0.745,0.693,7.667,9.778,4,4.667,1.778,6,4.333,0.444,4,1.88,0.773,1.3,0.637,8.76259,2,1
NH2O2V2-467d7346ac2e,3,10.143,7.347,23,0.515,0.418,8.429,12.408,5,2.286,0.98,4,4.143,1.796,5,2.511,0.682,1.63,1.352,8.14203,2,1
N2Hf3-417738ee21ed,2,46,31.2,72,0.721,0.654,8.4,10.56,4,4.4,1.92,6,4.4,0.48,4,1.996,0.835,1.3,0.673,8.59342,3,1
N2O2V3-358facb64a22,3,14.143,7.592,23,0.589,0.5,11,10.286,5,2.857,0.98,4,5.286,0.408,5,2.55,0.789,1.63,1.079,7.18446,3,1
N2Zr3-04eb7d543fc8,2,26.8,15.84,40,0.721,0.654,8.4,10.56,4,3.8,1.44,5,4.4,0.48,4,2.014,0.821,1.33,0.673,8.79562,3,1
N3Ti4-f81f92865534,2,15.571,7.347,22,0.714,0.643,8.714,10.776,4,3.143,0.98,4,4.429,0.49,4,2.183,0.735,1.54,0.683,7.72148,4,1
Cu2P2S6-7f0ee7f2ff5b,10,18.4,4.24,16,0.663,0.614,14.8,3.04,16,3.2,0.32,3,6.8,1.68,6,2.366,0.257,2.58,0.95,30.17292,2,1
Mn2P2S6-677c868c0469,5,17.6,2.96,16,0.663,0.614,14,5.6,16,3.2,0.32,3,6,0.4,6,2.296,0.341,2.58,0.95,30.31832,2,1
Ni2P2S6-036a47792052,8,18.2,3.92,16,0.663,0.614,14.6,3.68,16,3.2,0.32,3,6.6,1.36,6,2.368,0.254,2.58,0.95,29.5266,2,1
P2Ti2S6-1b2e64d113e5,2,17,2,16,0.663,0.614,13.4,7.52,16,3.2,0.32,3,5.4,0.72,6,2.294,0.343,2.58,0.95,30.65649,2,1
BrClMo-bad3cbaba47b,5,31.333,9.556,31.333,0.577,0.481,13.333,9.778,13.333,4,0.667,4,6.667,0.444,6.667,2.76,0.4,2.76,1.099,9.28889,1,-1
NbSSe-91a283a2d283,4,30.333,9.556,30.333,0.577,0.481,12.333,9.778,12.333,4,0.667,4,5.667,0.444,5.667,2.243,0.429,2.243,1.099,10.21169,1,-1
P2V2Se6-fa02b8c9ddc4,3,28,7.2,34,0.663,0.614,13.6,6.88,16,3.8,0.32,4,5.6,0.48,6,2.294,0.307,2.55,0.95,35.29517,2,1
AgBr2-96cefa3a17db,10,39,5.333,35,0.745,0.693,15,5.333,17,4.333,0.444,4,8.333,1.778,7,2.617,0.458,2.96,0.637,13.79265,1,1
CuBr2-22f552801137,10,33,2.667,35,0.745,0.693,15,5.333,17,4,0,4,8.333,1.778,7,2.607,0.471,2.96,0.637,11.99217,1,1
NiCl2-3ad667c285e2,8,20.667,4.889,17,0.745,0.693,14.667,6.222,17,3.333,0.444,3,8,1.333,7,2.743,0.556,3.16,0.637,10.62347,1,1
PtCl2-fa8d38b71cd1,9,37.333,27.111,17,0.745,0.693,14.667,6.222,17,4,1.333,3,8,1.333,7,2.867,0.391,3.16,0.637,12.43402,1,1
VCl2-1ccb0b28392d,3,19,2.667,17,0.745,0.693,13,10.667,17,3.333,0.444,3,6.333,0.889,7,2.65,0.68,3.16,0.637,11.59962,1,1
AlCl2-f8d92ab902de,0,15.667,1.778,17,0.745,0.693,15.667,3.556,17,3,0,3,5.667,1.778,7,2.643,0.689,3.16,0.637,11.22126,1,1
MnBr2-4d6ea02f2407,5,31.667,4.444,35,0.745,0.693,13.667,8.889,17,4,0,4,7,0,7,2.49,0.627,2.96,0.637,12.16564,1,1
Cu2Br6-d725eac1ffd0,10,33.5,2.25,35,0.791,0.759,15.5,4.5,17,4,0,4,8,1.5,7,2.695,0.398,2.96,0.562,36.37438,2,1
Nb2Cl6-ca5dfc8256fa,4,23,9,17,0.791,0.759,14,9,17,3.5,0.75,3,6.5,0.75,7,2.77,0.585,3.16,0.562,29.39706,2,1
Pd2I6-152fee6d123c,10,51.25,2.625,53,0.791,0.759,15.25,5.25,17,5,0,5,7.75,1.125,7,2.545,0.173,2.66,0.562,43.78827,2,1
Ru2I6-c6558965584c,7,50.75,3.375,53,0.791,0.759,14.75,6.75,17,5,0,5,7.25,0.375,7,2.545,0.173,2.66,0.562,42.60751,2,1
BiClTe-968a6902b7f5,10,50.667,22.444,50.667,0.577,0.481,16,1.333,16,4.667,1.111,4.667,6,0.667,6,2.427,0.489,2.427,1.099,16.03991,1,-1
AsBiHf-75b5b404cc95,10,62.667,19.778,62.667,0.577,0.481,11.333,9.778,11.333,5.333,0.889,5.333,4.667,0.444,4.667,1.833,0.356,1.833,1.099,11.43023,2,-1
Bi2S2-cca08641e07b,10,49.5,33.5,49.5,0.707,0.63,15.5,1,15.5,4.5,1.5,4.5,5.5,0.5,5.5,2.3,0.28,2.3,0.693,13.94341,2,-1
Co2Te2-043e7be1d702,7,39.5,12.5,39.5,0.707,0.63,12.5,7,12.5,4.5,0.5,4.5,7.5,1.5,7.5,1.99,0.11,1.99,0.693,13.49035,2,-1
Cl2Nb2-681838ff9640,4,29,12,29,0.707,0.63,11,12,11,4,1,4,6,1,6,2.38,0.78,2.38,0.693,13.93798,2,-1
Ni2Se2-f939f66bbfa5,8,31,3,31,0.707,0.63,13,6,13,4,0,4,8,2,8,2.23,0.32,2.23,0.693,12.13052,2,-1
I2Pb2-9c53dfa99cbb,10,67.5,14.5,67.5,0.707,0.63,15.5,3,15.5,5.5,0.5,5.5,5.5,1.5,5.5,2.265,0.395,2.265,0.693,15.4458,2,-1
Ti2Cl6-1aa6995ffbaa,2,18.25,1.875,17,0.791,0.759,13.75,9.75,17,3.25,0.375,3,6.25,1.125,7,2.755,0.608,3.16,0.562,32.28876,2,1
Cr2I6-2153d90c4d79,5,45.75,10.875,53,0.791,0.759,14.25,8.25,17,4.75,0.375,5,6.75,0.375,7,2.41,0.375,2.66,0.562,43.76405,2,1
Fe2I6-8736409b93c4,6,46.25,10.125,53,0.791,0.759,14.75,6.75,17,4.75,0.375,5,7.25,0.375,7,2.453,0.311,2.66,0.562,46.43696,2,1
Mo2I6-2437268fdffb,5,50.25,4.125,53,0.791,0.759,14.25,8.25,17,5,0,5,6.75,0.375,7,2.535,0.188,2.66,0.562,40.52972,2,1
Ti2I6-f7e034e3a17f,2,45.25,11.625,53,0.791,0.759,13.75,9.75,17,4.75,0.375,5,6.25,1.125,7,2.38,0.42,2.66,0.562,44.30566,2,1
Co2Se4-4dd65485b84f,7,31.667,3.111,34,0.745,0.693,13.667,6.222,16,4,0,4,7,1.333,6,2.327,0.298,2.55,0.637,32.92205,2,1
Fe2S4-bc16c88f14d9,6,19.333,4.444,16,0.745,0.693,13.333,7.111,16,3.333,0.444,3,6.667,0.889,6,2.33,0.333,2.58,0.637,31.05865,2,1
FeTe2-d98b0a15009e,6,43.333,11.556,52,0.745,0.693,13.333,7.111,16,4.667,0.444,5,6.667,0.889,6,2.01,0.12,2.1,0.637,11.0336,1,1
MnS2-a1fb52b45531,5,19,4,16,0.745,0.693,13,8,16,3.333,0.444,3,6.333,0.444,6,2.237,0.458,2.58,0.637,9.71893,1,1
ScS2-8cb59bd9248e,1,17.667,2.222,16,0.745,0.693,11.667,11.556,16,3.333,0.444,3,5,1.333,6,2.173,0.542,2.58,0.637,12.42531,1,1
Br2Cr2S2-d0a8f0957736,5,25,6.667,25,0.577,0.481,13,9.333,13,3.667,0.444,3.667,6.333,0.444,6.333,2.4,0.493,2.4,1.099,16.87407,2,1
Cr2I2N2-c85604a5cfe5,5,28,16.667,28,0.577,0.481,12.667,8.889,12.667,3.667,1.111,3.667,6,0.667,6,2.453,0.529,2.453,1.099,12.2781,2,1
Cl2Fe2Se2-8121c4d2936f,6,25.667,5.778,25.667,0.577,0.481,13.667,7.556,13.667,3.667,0.444,3.667,7,0.667,7,2.513,0.456,2.513,1.099,16.8303,2,1
Cl2Mn2N2-68c49aefd9ef,5,16.333,6.222,16.333,0.577,0.481,13,8,13,3,0.667,3,6.333,0.889,6.333,2.583,0.689,2.583,1.099,12.01605,2,1
I2Mn2S2-d84ade5709de,5,31.333,14.444,31.333,0.577,0.481,13.333,8.444,13.333,4,0.667,4,6.667,0.444,6.667,2.263,0.476,2.263,1.099,17.77902,2,1
Cl2O2V2-4e3d1f7b433a,3,16,5.333,16,0.577,0.481,12.667,10.222,12.667,3,0.667,3,6,0.667,6,2.743,0.742,2.743,1.099,12.94171,2,1
I2Se2V2-4644bda5f549,3,36.667,10.889,36.667,0.577,0.481,12.667,10.222,12.667,4.333,0.444,4.333,6,0.667,6,2.28,0.433,2.28,1.099,19.06747,2,1
Fe2S2-18156c81a96e,6,21,5,21,0.707,0.63,12,8,12,3.5,0.5,3.5,7,1,7,2.205,0.375,2.205,0.693,10.11594,2,1
Hf2Se2-5f80e2b0e339,2,53,19,53,0.707,0.63,10,12,10,5,1,5,5,1,5,1.925,0.625,1.925,0.693,11.32962,2,1
Mn2O2-b2c73ae37da5,5,16.5,8.5,16.5,0.707,0.63,11.5,9,11.5,3,1,3,6.5,0.5,6.5,2.495,0.945,2.495,0.693,7.5303,2,1
Mn2S6-dc655ded0d66,5,18.25,3.375,16,0.791,0.759,13.75,6.75,16,3.25,0.375,3,6.25,0.375,6,2.323,0.386,2.58,0.562,21.74265,2,1
SSeW-d0d914cf12a5,4,41.333,21.778,41.333,0.577,0.481,12.667,8.889,12.667,4.333,1.111,4.333,6,0,6,2.497,0.091,2.497,1.099,9.11976,1,-1
Ni2O6-e774579e108f,8,13,7.5,8,0.791,0.759,14.5,4.5,16,2.5,0.75,2,7,1.5,6,3.058,0.574,3.44,0.562,11.52189,2,1
Mn2S4-fb169c837046,5,19,4,16,0.745,0.693,13,8,16,3.333,0.444,3,6.333,0.444,6,2.237,0.458,2.58,0.637,18.25951,2,1
Br4Hf4Se4-bf7cb837feb7,2,47,16.667,47,0.577,0.481,12.333,11.111,12.333,4.667,0.889,4.667,5.667,1.111,5.667,2.27,0.647,2.27,1.099,45.5671,4,1
Co2Te2-1d2c625e6992,7,39.5,12.5,39.5,0.707,0.63,12.5,7,12.5,4.5,0.5,4.5,7.5,1.5,7.5,1.99,0.11,1.99,0.693,13.24875,2,1
Fe2Se2-13ce8be7f1b2,6,30,4,30,0.707,0.63,12,8,12,4,0,4,7,1,7,2.19,0.36,2.19,0.693,13.10262,2,1
Mn2O2-2dbd604f46ed,5,16.5,8.5,16.5,0.707,0.63,11.5,9,11.5,3,1,3,6.5,0.5,6.5,2.495,0.945,2.495,0.693,13.82239,2,1
BrClTi-e0e6e981b2fe,2,24.667,6.889,24.667,0.577,0.481,12.667,11.556,12.667,3.667,0.444,3.667,6,1.333,6,2.553,0.676,2.553,1.099,10.1342,1,1
BrIV-2da05db34435,3,37,10.667,37,0.577,0.481,13,10.667,13,4.333,0.444,4.333,6.333,0.889,6.333,2.417,0.524,2.417,1.099,13.77673,1,1
Cu2F2-edf35f96b23e,10,19,10,19,0.707,0.63,14,6,14,3,1,3,9,2,9,2.94,1.04,2.94,0.693,7.39365,2,1
F2Fe2-c57bff9f484a,6,17.5,8.5,17.5,0.707,0.63,12.5,9,12.5,3,1,3,7.5,0.5,7.5,2.905,1.075,2.905,0.693,6.54529,2,1
Hf2Te2-42f0a6f20f5f,2,62,10,62,0.707,0.63,10,12,10,5.5,0.5,5.5,5,1,5,1.7,0.4,1.7,0.693,16.90615,2,1
Mn2S2-5c9d9cb67e39,5,20.5,4.5,20.5,0.707,0.63,11.5,9,11.5,3.5,0.5,3.5,6.5,0.5,6.5,2.065,0.515,2.065,0.693,13.39715,2,1
Co2O2-384ee60bc031,7,17.5,9.5,17.5,0.707,0.63,12.5,7,12.5,3,1,3,7.5,1.5,7.5,2.66,0.78,2.66,0.693,14.92686,2,1
Mn2O2-e9f0f45a09de,5,16.5,8.5,16.5,0.707,0.63,11.5,9,11.5,3,1,3,6.5,0.5,6.5,2.495,0.945,2.495,0.693,10.70828,2,1
Ga2I2-9439cb1b509a,0,42,11,42,0.707,0.63,15,4,15,4.5,0.5,4.5,5,2,5,2.235,0.425,2.235,0.693,15.59815,2,-1
F2In2-03fd837646b6,0,29,20,29,0.707,0.63,15,4,15,3.5,1.5,3.5,5,2,5,2.88,1.1,2.88,0.693,11.10725,2,-1
Ni2O2-70bd2e246130,8,18,10,18,0.707,0.63,13,6,13,3,1,3,8,2,8,2.675,0.765,2.675,0.693,14.81864,2,1
CrF2-a3fbf9c28c81,5,14,6.667,9,0.745,0.693,13.333,9.778,17,2.667,0.889,2,6.667,0.444,7,3.207,1.031,3.98,0.637,7.22389,1,1
NiI2-15ccde3e8d83,8,44.667,11.111,53,0.745,0.693,14.667,6.222,17,4.667,0.444,5,8,1.333,7,2.41,0.333,2.66,0.637,17.29106,1,1
PtF2-2ab881c60144,9,32,30.667,9,0.745,0.693,14.667,6.222,17,3.333,1.778,2,8,1.333,7,3.413,0.756,3.98,0.637,7.97669,1,1
TiCl2-04309a8ad371,2,18.667,2.222,17,0.745,0.693,12.667,11.556,17,3.333,0.444,3,6,1.333,7,2.62,0.72,3.16,0.637,11.97298,1,1
CCr2O2-a4b8907fceef,5,14,8,24,0.6,0.514,11.6,8.96,6,2.8,0.96,4,5.6,0.64,6,2.55,0.712,1.66,1.055,7.36329,2,1
CO2Sc2-9ba9f64e4cea,1,12.8,6.56,21,0.6,0.514,10.4,11.84,3,2.8,0.96,4,4.4,1.28,3,2.43,0.856,1.36,1.055,9.02806,2,1
CTi2-5597611991eb,2,16.667,7.111,22,0.745,0.693,7.333,8.889,4,3.333,0.889,4,4,0,4,1.877,0.449,1.54,0.637,8.18937,2,1
C2H2O2Sc3-c6f3a447a0d1,1,10.333,7.111,21,0.509,0.412,7.889,12.642,3,2.444,1.037,4,3.444,1.383,3,2.273,0.641,1.36,1.369,9.71947,3,1
C2O2Mn3-e24e68f47252,5,14.714,8.816,25,0.589,0.5,11.571,7.837,7,2.857,0.98,4,5.857,1.061,7,2.376,0.708,1.55,1.079,7.1932,3,1
H2N2O2V3-03d6b761eb56,3,11.222,7.852,23,0.509,0.412,8.778,11.951,5,2.444,1.037,4,4.333,1.481,5,2.472,0.682,1.63,1.369,6.89588,3,1
Mn2P2Se6-5135d68bb778,5,28.4,6.72,34,0.663,0.614,14,5.6,16,3.8,0.32,4,6,0.4,6,2.278,0.326,2.55,0.95,35.38339,2,1
Ni2P2S6-de2432ed42aa,8,18.2,3.92,16,0.663,0.614,14.6,3.68,16,3.2,0.32,3,6.6,1.36,6,2.368,0.254,2.58,0.95,29.5735,2,1
P2V2Te6-e91c92408325,3,38.8,15.84,52,0.663,0.614,13.6,6.88,16,4.4,0.72,5,5.6,0.48,6,2.024,0.158,2.1,0.95,39.90969,2,1
CuCl2-5fdd50d69b1f,10,21,5.333,17,0.745,0.693,15,5.333,17,3.333,0.444,3,8.333,1.778,7,2.74,0.56,3.16,0.637,10.84968,1,1
NiI2-0e87e38a2099,8,44.667,11.111,53,0.745,0.693,14.667,6.222,17,4.667,0.444,5,8,1.333,7,2.41,0.333,2.66,0.637,13.64702,1,1
TiBr2-db38ba041c3b,2,30.667,5.778,35,0.745,0.693,12.667,11.556,17,4,0,4,6,1.333,7,2.487,0.631,2.96,0.637,12.09616,1,1
VI2-d480b343c982,3,43,13.333,53,0.745,0.693,13,10.667,17,4.667,0.444,5,6.333,0.889,7,2.317,0.458,2.66,0.637,14.74347,1,1
CrBr2-732baf86d047,5,31.333,4.889,35,0.745,0.693,13.333,9.778,17,4,0,4,6.667,0.444,7,2.527,0.578,2.96,0.637,11.81053,1,1
GaCl2-d9320dd50e83,0,21.667,6.222,17,0.745,0.693,15.667,3.556,17,3.333,0.444,3,5.667,1.778,7,2.71,0.6,3.16,0.637,11.55465,1,1
InBr2-866193f81c4b,0,39.667,6.222,35,0.745,0.693,15.667,3.556,17,4.333,0.444,4,5.667,1.778,7,2.567,0.524,2.96,0.637,14.55799,1,1
MnCl2-36192c4a6b20,5,19.667,3.556,17,0.745,0.693,13.667,8.889,17,3.333,0.444,3,7,0,7,2.623,0.716,3.16,0.637,10.97584,1,1
Cu2Cl6-3cb8744d4ec2,10,20,4.5,17,0.791,0.759,15.5,4.5,17,3.25,0.375,3,8,1.5,7,2.845,0.473,3.16,0.562,32.09207,2,1
Hf2Br6-a13511495a16,2,44.25,13.875,35,0.791,0.759,13.75,9.75,17,4.5,0.75,4,6.25,1.125,7,2.545,0.623,2.96,0.562,36.82186,2,1
Nb2I6-2debeb910d58,4,50,4.5,53,0.791,0.759,14,9,17,5,0,5,6.5,0.75,7,2.395,0.398,2.66,0.562,44.31476,2,1
Pt2Br6-52ad72865776,9,45.75,16.125,35,0.791,0.759,15.25,5.25,17,4.5,0.75,4,7.75,1.125,7,2.79,0.255,2.96,0.562,39.16285,2,1
Cr2I6-b95c6aaa395c,5,45.75,10.875,53,0.791,0.759,14.25,8.25,17,4.75,0.375,5,6.75,0.375,7,2.41,0.375,2.66,0.562,44.01289,2,1
Fe2I6-c3c3634f1840,6,46.25,10.125,53,0.791,0.759,14.75,6.75,17,4.75,0.375,5,7.25,0.375,7,2.453,0.311,2.66,0.562,45.95091,2,1
Re2Cl6-c4fb280ab9a8,5,31.5,21.75,17,0.791,0.759,14.5,7.5,17,3.75,1.125,3,7,0,7,2.845,0.473,3.16,0.562,27.88204,2,1
Ti2I6-0e99355f14de,2,45.25,11.625,53,0.791,0.759,13.75,9.75,17,4.75,0.375,5,6.25,1.125,7,2.38,0.42,2.66,0.562,44.31825,2,1
BrClV-572bd714b4d7,3,25,6.667,25,0.577,0.481,13,10.667,13,3.667,0.444,3.667,6.333,0.889,6.333,2.583,0.636,2.583,1.099,9.64841,1,1
Fe2S4-95e240bacdff,6,19.333,4.444,16,0.745,0.693,13.333,7.111,16,3.333,0.444,3,6.667,0.889,6,2.33,0.333,2.58,0.637,30.6921,2,1
MnS2-97234046352a,5,19,4,16,0.745,0.693,13,8,16,3.333,0.444,3,6.333,0.444,6,2.237,0.458,2.58,0.637,8.2753,1,1
RuS2-bd1cbb66f7bc,7,25.333,12.444,16,0.745,0.693,13.333,7.111,16,3.667,0.889,3,6.667,0.889,6,2.453,0.169,2.58,0.637,9.74245,1,1
VSe2-8535e643c6c5,3,30.333,4.889,34,0.745,0.693,12.333,9.778,16,4,0,4,5.667,0.444,6,2.243,0.409,2.55,0.637,9.68096,1,1
Cl2K2-85e2702c201b,0,18,1,18,0.707,0.63,9,16,9,3.5,0.5,3.5,4,3,4,1.99,1.17,1.99,0.693,36.40141,2,-1
F2Pd2-b6495fc9fae1,10,27.5,18.5,27.5,0.707,0.63,13.5,7,13.5,3.5,1.5,3.5,8.5,1.5,8.5,3.09,0.89,3.09,0.693,13.47452,2,-1
Cl2Rb2-c867862764fc,0,27,10,27,0.707,0.63,9,16,9,4,1,4,4,3,4,1.99,1.17,1.99,0.693,40.51055,2,-1
ScH2-979f4dbd9c1b,1,7.667,8.889,1,0.745,0.693,1.667,1.778,1,2,1.333,1,1.667,0.889,1,1.92,0.373,2.2,0.637,8.29721,1,1
Br2Cr2S2-806bd2cbdf65,5,25,6.667,25,0.577,0.481,13,9.333,13,3.667,0.444,3.667,6.333,0.444,6.333,2.4,0.493,2.4,1.099,16.8137,2,1
Cr2I2N2-2e0cbd48cd14,5,28,16.667,28,0.577,0.481,12.667,8.889,12.667,3.667,1.111,3.667,6,0.667,6,2.453,0.529,2.453,1.099,13.05638,2,1
Br2Fe2O2-359cdb8cf357,6,23,10,23,0.577,0.481,13.667,7.556,13.667,3.333,0.889,3.333,7,0.667,7,2.743,0.609,2.743,1.099,13.02798,2,1
Cl2Fe2Se2-ea3f02460f8e,6,25.667,5.778,25.667,0.577,0.481,13.667,7.556,13.667,3.667,0.444,3.667,7,0.667,7,2.513,0.456,2.513,1.099,16.24498,2,1
Cl2Mn2N2-2e64187886f8,5,16.333,6.222,16.333,0.577,0.481,13,8,13,3,0.667,3,6.333,0.889,6.333,2.583,0.689,2.583,1.099,11.95055,2,1
I2Mn2S2-91eb68a04f3a,5,31.333,14.444,31.333,0.577,0.481,13.333,8.444,13.333,4,0.667,4,6.667,0.444,6.667,2.263,0.476,2.263,1.099,18.09616,2,1
Br2O2Os2-198ed60f3c02,6,39.667,24.222,39.667,0.577,0.481,13.667,7.556,13.667,4,1.333,4,7,0.667,7,2.867,0.444,2.867,1.099,14.31903,2,1
Cl2S2V2-59253ed209f0,3,18.667,2.889,18.667,0.577,0.481,12.667,10.222,12.667,3.333,0.444,3.333,6,0.667,6,2.457,0.551,2.457,1.099,16.14078,2,1
Mn2S2-6ec5bb2c1196,5,20.5,4.5,20.5,0.707,0.63,11.5,9,11.5,3.5,0.5,3.5,6.5,0.5,6.5,2.065,0.515,2.065,0.693,12.98067,2,1
Mn2Se6-6a14979730f2,5,31.75,3.375,34,0.791,0.759,13.75,6.75,16,4,0,4,6.25,0.375,6,2.3,0.375,2.55,0.562,25.97718,2,1
Ni2O6-a3505134f7ac,8,13,7.5,8,0.791,0.759,14.5,4.5,16,2.5,0.75,2,7,1.5,6,3.058,0.574,3.44,0.562,11.54713,2,1
Pt2O6-5b9f07cb8ac4,9,25.5,26.25,8,0.791,0.759,14.5,4.5,16,3,1.5,2,7,1.5,6,3.15,0.435,3.44,0.562,18.34092,2,1
Mn2S4-6af22d697de1,5,19,4,16,0.745,0.693,13,8,16,3.333,0.444,3,6.333,0.444,6,2.237,0.458,2.58,0.637,17.02986,2,1
Br4S4Ti4-8b41fd56e767,2,24.333,7.111,24.333,0.577,0.481,12.333,11.111,12.333,3.667,0.444,3.667,5.667,1.111,5.667,2.36,0.547,2.36,1.099,40.70949,4,1
Mn2S2-d24fbb4718ed,5,20.5,4.5,20.5,0.707,0.63,11.5,9,11.5,3.5,0.5,3.5,6.5,0.5,6.5,2.065,0.515,2.065,0.693,12.73849,2,1
S2Ti2-89ee439948ac,2,19,3,19,0.707,0.63,10,12,10,3.5,0.5,3.5,5,1,5,2.06,0.52,2.06,0.693,13.30018,2,-1
Br2V2-833099de2840,3,29,6,29,0.707,0.63,11,12,11,4,0,4,6,1,6,2.295,0.665,2.295,0.693,12.52767,2,-1
Ni2O2-4f164abaf710,8,18,10,18,0.707,0.63,13,6,13,3,1,3,8,2,8,2.675,0.765,2.675,0.693,12.64911,2,1
Se2V2-61c95ebdca58,3,28.5,5.5,28.5,0.707,0.63,10.5,11,10.5,4,0,4,5.5,0.5,5.5,2.09,0.46,2.09,0.693,13.04402,2,1
ClIV-9f3e8b6323b9,3,31,14.667,31,0.577,0.481,13,10.667,13,4,0.667,4,6.333,0.889,6.333,2.483,0.569,2.483,1.099,13.18073,1,1
Br2Cr2-724c343d405c,5,29.5,5.5,29.5,0.707,0.63,11.5,11,11.5,4,0,4,6.5,0.5,6.5,2.31,0.65,2.31,0.693,13.60323,2,1
F2Fe2-e1094335f015,6,17.5,8.5,17.5,0.707,0.63,12.5,9,12.5,3,1,3,7.5,0.5,7.5,2.905,1.075,2.905,0.693,6.58786,2,1
