id,d_elect,mean_Z,del_Z,mode_Z,L2_norm,L3_norm,mean_group,del_group,mode_group,mean_period,del_period,mode_period,mean_val,del_val,mode_val,mean_electroneg,del_electroneg,mode_electroneg,entropy,cell_area,n_metal,mag_state
Br2Hg2O2-014d31400f3d,10,41,26,41,0.577,0.481,15,4,15,4,1.333,4,5,2,5,2.8,0.533,2.8,1.099,16.40817,2,1
Br2Mn2N2-9255d48541ae,5,22.333,10.222,22.333,0.577,0.481,13,8,13,3.333,0.889,3.333,6.333,0.889,6.333,2.517,0.644,2.517,1.099,12.4003,2,1
Cl2Mn2S2-e920b94ad8fc,5,19.333,3.778,19.333,0.577,0.481,13.333,8.444,13.333,3.333,0.444,3.333,6.667,0.444,6.667,2.43,0.587,2.43,1.099,16.96682,2,1
I2Ni2O2-2bc8e3ed12d1,8,29.667,15.556,29.667,0.577,0.481,14.333,5.778,14.333,3.667,1.111,3.667,7.667,1.556,7.667,2.67,0.513,2.67,1.099,12.851,2,1
I2N2V2-1431a0eb405e,3,27.667,16.889,27.667,0.577,0.481,12.333,9.778,12.333,3.667,1.111,3.667,5.667,0.889,5.667,2.443,0.542,2.443,1.099,13.43292,2,1
Mn2Se2-33153b20fa2c,5,29.5,4.5,29.5,0.707,0.63,11.5,9,11.5,4,0,4,6.5,0.5,6.5,2.05,0.5,2.05,0.693,12.61217,2,1
Ni2O2-1983d617d539,8,18,10,18,0.707,0.63,13,6,13,3,1,3,8,2,8,2.675,0.765,2.675,0.693,8.57587,2,1
Se2Ta2-032ce1cdb6a8,3,53.5,19.5,53.5,0.707,0.63,10.5,11,10.5,5,1,5,5.5,0.5,5.5,2.025,0.525,2.025,0.693,9.12173,2,1
Cr2O6-e65c0c0b704d,5,12,6,8,0.791,0.759,13.5,7.5,16,2.5,0.75,2,6,0,6,2.995,0.667,3.44,0.562,13.15349,2,1
Mn2Te4-b820ecadf516,5,43,12,52,0.745,0.693,13,8,16,4.667,0.444,5,6.333,0.444,6,1.917,0.244,2.1,0.637,21.36348,2,1
Cl4S4Ti4-8c00680c9522,2,18.333,2.444,18.333,0.577,0.481,12.333,11.111,12.333,3.333,0.444,3.333,5.667,1.111,5.667,2.427,0.591,2.427,1.099,38.80925,4,1
Cr2Se2-d37261b9c1c4,5,29,5,29,0.707,0.63,11,10,11,4,0,4,6,0,6,2.105,0.445,2.105,0.693,13.83708,2,1
Hf2S2-a38a7fa2191c,2,44,28,44,0.707,0.63,10,12,10,4.5,1.5,4.5,5,1,5,1.94,0.64,1.94,0.693,18.33032,2,1
MoTe2-03aa23bfac74,5,48.667,4.444,52,0.745,0.693,12.667,8.889,16,5,0,5,6,0,6,2.12,0.027,2.1,0.637,10.56877,1,-1
NbTe2-24e850444f48,4,48.333,4.889,52,0.745,0.693,12.333,9.778,16,5,0,5,5.667,0.444,6,1.933,0.222,2.1,0.637,11.76431,1,-1
Mo2W2Se8-a1d716aad84d,5,42,10.667,34,0.707,0.674,12.667,8.889,16,4.5,0.667,4,6,0,6,2.453,0.129,2.55,0.868,38.18892,4,-1
Ti2Zr2Se8-846b50801a93,2,33,3.667,34,0.707,0.674,12,10.667,16,4.167,0.278,4,5.333,0.889,6,2.178,0.496,2.55,0.868,44.9762,4,-1
TiZr3Se8-a148361e5e9a,2,34.5,2.75,34,0.717,0.679,12,10.667,16,4.25,0.375,4,5.333,0.889,6,2.161,0.519,2.55,0.824,46.23488,4,-1
Al2Br2N2-1d000b12ca7b,0,18.333,11.111,18.333,0.577,0.481,15,2.667,15,3,0.667,3,5,1.333,5,2.537,0.618,2.537,1.099,11.94224,2,-1
Br2Cu2S2-1690aca87f60,10,26.667,7.111,26.667,0.577,0.481,14.667,4.889,14.667,3.667,0.444,3.667,8,2,8,2.48,0.387,2.48,1.099,16.26271,2,-1
Br2Ga2O2-f06d0758fdea,0,24.667,11.111,24.667,0.577,0.481,15.333,3.111,15.333,3.333,0.889,3.333,5.333,1.556,5.333,2.737,0.618,2.737,1.099,13.1055,2,-1
Hf2I2O2-446d0c7561b2,2,44.333,24.222,44.333,0.577,0.481,12.333,11.111,12.333,4.333,1.556,4.333,5.667,1.111,5.667,2.467,0.778,2.467,1.099,16.12551,2,-1
Hg2I2O2-f4d0539c4bb6,10,47,26,47,0.577,0.481,15,4,15,4.333,1.556,4.333,5,2,5,2.7,0.493,2.7,1.099,16.0539,2,-1
Cl2Mo2S2-3183bad24fef,5,25,11.333,25,0.577,0.481,13,9.333,13,3.667,0.889,3.667,6.333,0.444,6.333,2.633,0.351,2.633,1.099,14.32123,2,-1
Br2Nb2Se2-d526b2cb4001,4,36.667,2.889,36.667,0.577,0.481,12.667,10.222,12.667,4.333,0.444,4.333,6,0.667,6,2.37,0.513,2.37,1.099,17.6169,2,-1
Br2Ni2Se2-014c41b1bf55,8,32.333,2.889,32.333,0.577,0.481,14.333,5.778,14.333,4,0,4,7.667,1.556,7.667,2.473,0.376,2.473,1.099,17.46761,2,-1
Mo2O2-af41089b844c,5,25,17,25,0.707,0.63,11,10,11,3.5,1.5,3.5,6,0,6,2.8,0.64,2.8,0.693,14.09605,2,1
Ni2Se2-3c97e1d4a4f8,8,31,3,31,0.707,0.63,13,6,13,4,0,4,8,2,8,2.23,0.32,2.23,0.693,13.13039,2,1
O2Ti2-f43fbd954237,2,15,7,15,0.707,0.63,10,12,10,3,1,3,5,1,5,2.49,0.95,2.49,0.693,15.4629,2,1
STeV-18374204965d,3,30.333,14.444,30.333,0.577,0.481,12.333,9.778,12.333,4,0.667,4,5.667,0.444,5.667,2.103,0.318,2.103,1.099,10.44899,1,1
Cl2Co2-a6de66619bdb,7,22,5,22,0.707,0.63,13,8,13,3.5,0.5,3.5,8,1,8,2.52,0.64,2.52,0.693,9.04537,2,1
Fe2S2-4b2f182eaf20,6,21,5,21,0.707,0.63,12,8,12,3.5,0.5,3.5,7,1,7,2.205,0.375,2.205,0.693,11.42118,2,1
Br2Ti2-56c3462f3f39,2,28.5,6.5,28.5,0.707,0.63,10.5,13,10.5,4,0,4,5.5,1.5,5.5,2.25,0.71,2.25,0.693,13.5339,2,1
Cr2S2-d0248eb77981,5,20,4,20,0.707,0.63,11,10,11,3.5,0.5,3.5,6,0,6,2.12,0.46,2.12,0.693,12.77585,2,1
Fe2Te2-a15268879f97,6,39,13,39,0.707,0.63,12,8,12,4.5,0.5,4.5,7,1,7,1.965,0.135,1.965,0.693,14.71775,2,1
Mn2Se2-42fab1cf9720,5,29.5,4.5,29.5,0.707,0.63,11.5,9,11.5,4,0,4,6.5,0.5,6.5,2.05,0.5,2.05,0.693,12.93088,2,1
Ni2Te2-17e9890eeaec,8,40,12,40,0.707,0.63,13,6,13,4.5,0.5,4.5,8,2,8,2.005,0.095,2.005,0.693,13.32808,2,1
Br2V2-da67499d6af8,3,29,6,29,0.707,0.63,11,12,11,4,0,4,6,1,6,2.295,0.665,2.295,0.693,13.25155,2,1
Se2V2-9556122e471e,3,28.5,5.5,28.5,0.707,0.63,10.5,11,10.5,4,0,4,5.5,0.5,5.5,2.09,0.46,2.09,0.693,13.19079,2,1
Br2Y2-852fc0d86ecb,1,37,2,37,0.707,0.63,10,14,10,4.5,0.5,4.5,5,2,5,2.09,0.87,2.09,0.693,20.30963,2,1
Nb2S2-6446595a3d22,4,28.5,12.5,28.5,0.707,0.63,10.5,11,10.5,4,1,4,5.5,0.5,5.5,2.09,0.49,2.09,0.693,9.09453,2,1
S2Ti2-6355dd9cda9b,2,19,3,19,0.707,0.63,10,12,10,3.5,0.5,3.5,5,1,5,2.06,0.52,2.06,0.693,10.09156,2,1
CoF2-2f2f01730826,7,15,8,9,0.745,0.693,14.333,7.111,17,2.667,0.889,2,7.667,0.889,7,3.28,0.933,3.98,0.637,10.94241,1,1
CrSe2-364481137d28,5,30.667,4.444,34,0.745,0.693,12.667,8.889,16,4,0,4,6,0,6,2.253,0.396,2.55,0.637,14.27524,1,1
MnBr2-6e4f4724ab75,5,31.667,4.444,35,0.745,0.693,13.667,8.889,17,4,0,4,7,0,7,2.49,0.627,2.96,0.637,16.54175,1,1
NbO2-8ca360f9209f,4,19,14.667,8,0.745,0.693,12.333,9.778,16,3,1.333,2,5.667,0.444,6,2.827,0.818,3.44,0.637,11.69528,1,1
PdF2-ee10b74aa014,10,21.333,16.444,9,0.745,0.693,14.667,6.222,17,3,1.333,2,8,1.333,7,3.387,0.791,3.98,0.637,8.99454,1,1
ScF2-712bdd295377,1,13,5.333,9,0.745,0.693,12.333,12.444,17,2.667,0.889,2,5.667,1.778,7,3.107,1.164,3.98,0.637,9.7628,1,1
VCl2-54579dd244a5,3,19,2.667,17,0.745,0.693,13,10.667,17,3.333,0.444,3,6.333,0.889,7,2.65,0.68,3.16,0.637,12.6135,1,1
CH2Mn2O2-7938aedd38e3,5,10.571,8.245,25,0.515,0.418,8.857,11.102,7,2.286,0.98,4,4.571,2.204,7,2.419,0.621,1.55,1.352,7.87485,2,1
CZr2-758fc914677e,2,28.667,15.111,40,0.745,0.693,7.333,8.889,4,4,1.333,5,4,0,4,1.737,0.542,1.33,0.637,9.39824,2,1
NTi2-11d3491aacd8,2,17,6.667,22,0.745,0.693,7.667,9.778,4,3.333,0.889,4,4.333,0.444,4,2.04,0.667,1.54,0.637,7.68555,2,1
C2F2Cr3-370de8d0f4f5,5,14.571,8.082,24,0.589,0.5,11.429,9.306,6,2.857,0.98,4,5.714,0.98,6,2.577,0.802,1.66,1.079,7.57104,3,1
C2F2Y3-3a7aee4bc19d,1,21,15.429,39,0.589,0.5,10.143,12.245,3,3.286,1.469,5,4.429,1.469,3,2.389,1.002,1.22,1.079,10.77656,3,1
O2N3Mn4-24ea907e3c1d,5,15.222,8.691,25,0.598,0.514,11.667,8.296,7,2.889,0.988,4,6.111,0.79,7,2.467,0.815,1.55,1.061,7.30016,4,1
P2Ti2Te6-c2ee5fa34be0,2,38.6,16.08,52,0.663,0.614,13.4,7.52,16,4.4,0.72,5,5.4,0.72,6,2.006,0.186,2.1,0.95,40.73406,2,1
CuBr2-d7a74d296767,10,33,2.667,35,0.745,0.693,15,5.333,17,4,0,4,8.333,1.778,7,2.607,0.471,2.96,0.637,11.24821,1,1
NiBr2-54174cbbd86d,8,32.667,3.111,35,0.745,0.693,14.667,6.222,17,4,0,4,8,1.333,7,2.61,0.467,2.96,0.637,11.03012,1,1
