id,mean_Z,del_Z,mode_Z,L2_norm,L3_norm,mean_grp,del_grp,mode_grp,mean_period,del_period,mode_period,mean_valelec,del_valelec,mode_valelec,mean_electroneg,del_electroneg,mode_electroneg,stoichio_entropy,cell_area,hform,label
Co2Se2-3ccacd2c1731,30.5,3.5,30.5,0.707,0.63,12.5,7,12.5,4,0,4,7.5,1.5,7.5,2.215,0.335,2.215,0.693,11.52502,0.08324,-1
S2V2-e957b397f401,19.5,3.5,19.5,0.707,0.63,10.5,11,10.5,3.5,0.5,3.5,5.5,0.5,5.5,2.105,0.475,2.105,0.693,12.64062,-0.59019,1
ZnTe2-88ad5a179acb,44.667,9.778,52,0.745,0.693,14.667,3.556,16,4.667,0.444,5,4.667,1.778,6,1.95,0.2,2.1,0.637,11.92552,-0.07762,1
MnSe2-f3b9f9bddf25,31,4,34,0.745,0.693,13,8,16,4,0,4,6.333,0.444,6,2.217,0.444,2.55,0.637,10.57363,-0.46926,1
S2Ta2-ad0723a61cb1,44.5,28.5,44.5,0.707,0.63,10.5,11,10.5,4.5,1.5,4.5,5.5,0.5,5.5,2.04,0.54,2.04,0.693,15.07896,-0.45016,1
Si2Te2-a214b74d83d7,33,19,33,0.707,0.63,15,2,15,4,1,4,5,1,5,2,0.1,2,0.693,30.17512,0.65188,-1
I2S2Tl2-c8eaa504c957,50,22.667,50,0.577,0.481,15.333,3.111,15.333,4.667,1.111,4.667,5.333,1.556,5.333,2.287,0.444,2.287,1.099,21.33126,-0.11118,1
TaO2-521a6b042293,29.667,28.889,8,0.745,0.693,12.333,9.778,16,3.333,1.778,2,5.667,0.444,6,2.793,0.862,3.44,0.637,8.03605,-2.37049,1
Br2Cr2S2-d0a8f0957736,25,6.667,25,0.577,0.481,13,9.333,13,3.667,0.444,3.667,6.333,0.444,6.333,2.4,0.493,2.4,1.099,16.87407,-0.78763,1
Fe2Te6-71c01b5ce715,45.5,9.75,52,0.791,0.759,14,6,16,4.75,0.375,5,6.5,0.75,6,2.033,0.101,2.1,0.562,21.43813,0.07012,-1
TaSb2-7dc3cdba3321,58.333,9.778,51,0.745,0.693,11.667,8.889,15,5.333,0.444,5,5,0,5,1.867,0.244,2.05,0.637,8.99273,0.09907,-1
ScH2-979f4dbd9c1b,7.667,8.889,1,0.745,0.693,1.667,1.778,1,2,1.333,1,1.667,0.889,1,1.92,0.373,2.2,0.637,8.29721,-0.25139,1
Cr2I2N2-2e0cbd48cd14,28,16.667,28,0.577,0.481,12.667,8.889,12.667,3.667,1.111,3.667,6,0.667,6,2.453,0.529,2.453,1.099,13.05638,-0.23163,1
Mo2Se4-5d2df8ae3107,36.667,3.556,34,0.745,0.693,12.667,8.889,16,4.333,0.444,4,6,0,6,2.42,0.173,2.55,0.637,41.31724,0.2563,-1
Ir2Br4-47f211643e9f,49,18.667,35,0.745,0.693,14.333,7.111,17,4.667,0.889,4,7.667,0.889,7,2.707,0.338,2.96,0.637,27.28982,0.17993,-1
CrCl2-75741b4ecfee,19.333,3.111,17,0.745,0.693,13.333,9.778,17,3.333,0.444,3,6.667,0.444,7,2.66,0.667,3.16,0.637,10.61833,-0.75446,1
O2Ru2-5c1680549eb4,26,18,26,0.707,0.63,12,8,12,3.5,1.5,3.5,7,1,7,2.82,0.62,2.82,0.693,12.89465,-0.28678,1
MnBr2-4d6ea02f2407,31.667,4.444,35,0.745,0.693,13.667,8.889,17,4,0,4,7,0,7,2.49,0.627,2.96,0.637,12.16564,-0.65366,1
Ir2Se4-f229aa3017f1,48.333,19.111,34,0.745,0.693,13.667,6.222,16,4.667,0.889,4,7,1.333,6,2.433,0.156,2.55,0.637,36.08108,0.1013,-1
Hf2Zr2S8-540829ada792,29.333,17.778,16,0.707,0.674,12,10.667,16,3.833,1.111,3,5.333,0.889,6,2.158,0.562,2.58,0.868,43.83446,-1.38867,1
Br2O2Pt2-c6e50ea9df2c,40.333,25.111,40.333,0.577,0.481,14.333,5.778,14.333,4,1.333,4,7.667,1.556,7.667,2.893,0.409,2.893,1.099,15.08007,-0.16848,1
MnSe2-694e0120ce28,31,4,34,0.745,0.693,13,8,16,4,0,4,6.333,0.444,6,2.217,0.444,2.55,0.637,14.61368,-0.09291,1
Cd2Te2-3a9e0525e324,50,2,50,0.707,0.63,14,4,14,5,0,5,4,2,4,1.895,0.205,1.895,0.693,18.88528,-0.3712,1
Br2Cr2S2-806bd2cbdf65,25,6.667,25,0.577,0.481,13,9.333,13,3.667,0.444,3.667,6.333,0.444,6.333,2.4,0.493,2.4,1.099,16.8137,-0.80662,1
BiF2-ceaac4548d6c,33.667,32.889,9,0.745,0.693,16.333,1.778,17,3.333,1.778,2,6.333,0.889,7,3.327,0.871,3.98,0.637,11.00006,-1.65689,1
ZnI2-69f5f8718ba5,45.333,10.222,53,0.745,0.693,15.333,4.444,17,4.667,0.444,5,5.333,2.222,7,2.323,0.449,2.66,0.637,14.55714,-0.49141,1
AsBr2-7dad49abf271,34.333,0.889,35,0.745,0.693,16.333,1.778,17,4,0,4,6.333,0.889,7,2.7,0.347,2.96,0.637,11.29934,0.08231,-1
As2Br6-514d167d5ddb,34.5,0.75,35,0.791,0.759,16.5,1.5,17,4,0,4,6.5,0.75,7,2.765,0.293,2.96,0.562,47.29796,-0.47718,1
TiBr2-db38ba041c3b,30.667,5.778,35,0.745,0.693,12.667,11.556,17,4,0,4,6,1.333,7,2.487,0.631,2.96,0.637,12.09616,-1.08336,1
Zn2Te4-e203877e40e2,44.667,9.778,52,0.745,0.693,14.667,3.556,16,4.667,0.444,5,4.667,1.778,6,1.95,0.2,2.1,0.637,41.4448,0.00214,-1
Fe2Te2-d525175dbfca,39,13,39,0.707,0.63,12,8,12,4.5,0.5,4.5,7,1,7,1.965,0.135,1.965,0.693,14.78393,0.37003,-1
Ag2Te2-648de0a225fe,49.5,2.5,49.5,0.707,0.63,13.5,5,13.5,5,0,5,8.5,2.5,8.5,2.015,0.085,2.015,0.693,25.76253,0.05924,-1
S2Sb2-7aaf15f5af96,33.5,17.5,33.5,0.707,0.63,15.5,1,15.5,4,1,4,5.5,0.5,5.5,2.315,0.265,2.315,0.693,12.97597,0.06283,-1
BiBr2-ed04a93ebe78,51,21.333,35,0.745,0.693,16.333,1.778,17,4.667,0.889,4,6.333,0.889,7,2.647,0.418,2.96,0.637,12.70157,-0.31617,1
Al2Se2-136900211245,23.5,10.5,23.5,0.707,0.63,14.5,3,14.5,3.5,0.5,3.5,4.5,1.5,4.5,2.08,0.47,2.08,0.693,12.45424,-0.71141,1
BiBrTe-304bc6a92d82,56.667,17.556,56.667,0.577,0.481,16,1.333,16,5,0.667,5,6,0.667,6,2.36,0.4,2.36,1.099,16.33653,-0.5039,1
Re2Br6-59ac787623ca,45,15,35,0.791,0.759,14.5,7.5,17,4.5,0.75,4,7,0,7,2.695,0.398,2.96,0.562,32.49778,0.12114,-1
C2O2Mn3-e24e68f47252,14.714,8.816,25,0.589,0.5,11.571,7.837,7,2.857,0.98,4,5.857,1.061,7,2.376,0.708,1.55,1.079,7.1932,-0.40767,1
Mn2S2-5c9d9cb67e39,20.5,4.5,20.5,0.707,0.63,11.5,9,11.5,3.5,0.5,3.5,6.5,0.5,6.5,2.065,0.515,2.065,0.693,13.39715,-0.59225,1
Cl2Ni2S2-94465cadd395,20.333,5.111,20.333,0.577,0.481,14.333,5.778,14.333,3.333,0.444,3.333,7.667,1.556,7.667,2.55,0.427,2.55,1.099,15.82553,-0.4555,1
N2O2Nb3-e7eef1736ffe,21.857,16.408,41,0.589,0.5,11,10.286,5,3.286,1.469,5,5.286,0.408,5,2.537,0.803,1.6,1.079,8.13296,-1.617,1
Cl2Sb2-a6ccabb6ac8a,34,17,34,0.707,0.63,16,2,16,4,1,4,6,1,6,2.605,0.555,2.605,0.693,23.6468,-0.4607,1
Hf2I2-68ee80724da4,62.5,9.5,62.5,0.707,0.63,10.5,13,10.5,5.5,0.5,5.5,5.5,1.5,5.5,1.98,0.68,1.98,0.693,16.93387,-0.15813,1
RhCl2-b534c03ba4d7,26.333,12.444,17,0.745,0.693,14.333,7.111,17,3.667,0.889,3,7.667,0.889,7,2.867,0.391,3.16,0.637,10.93949,-0.02696,1
Ag2P2Se6-cb1e8fb4e4b9,32.8,7.12,34,0.663,0.614,14.8,3.04,16,4,0.4,4,6.8,1.68,6,2.354,0.235,2.55,0.95,36.3601,-0.06252,1
AsISe-ca926a42865b,40,8.667,40,0.577,0.481,16,1.333,16,4.333,0.444,4.333,6,0.667,6,2.463,0.189,2.463,1.099,12.67519,0.01422,-1
PdO2-de604d79f9c3,20.667,16.889,8,0.745,0.693,14,5.333,16,3,1.333,2,7.333,1.778,6,3.027,0.551,3.44,0.637,8.28938,-0.39942,1
TiZr3Se8-a148361e5e9a,34.5,2.75,34,0.717,0.679,12,10.667,16,4.25,0.375,4,5.333,0.889,6,2.161,0.519,2.55,0.824,46.23488,-1.16159,1
Ni2O2-4f164abaf710,18,10,18,0.707,0.63,13,6,13,3,1,3,8,2,8,2.675,0.765,2.675,0.693,12.64911,-0.50002,1
Ir2S4-48010d2488cf,36.333,27.111,16,0.745,0.693,13.667,6.222,16,4,1.333,3,7,1.333,6,2.453,0.169,2.58,0.637,32.12475,-0.0487,1
Fe2S2-18156c81a96e,21,5,21,0.707,0.63,12,8,12,3.5,0.5,3.5,7,1,7,2.205,0.375,2.205,0.693,10.11594,-0.09439,1
CrS2-c5ee5e35d2b4,18.667,3.556,16,0.745,0.693,12.667,8.889,16,3.333,0.444,3,6,0,6,2.273,0.409,2.58,0.637,8.04334,-0.6726,1
HgTe2-713d0f34732f,61.333,12.444,52,0.745,0.693,14.667,3.556,16,5.333,0.444,5,4.667,1.778,6,2.067,0.044,2.1,0.637,11.99559,0.35675,-1
AgBr2-3478dae6ee66,39,5.333,35,0.745,0.693,15,5.333,17,4.333,0.444,4,8.333,1.778,7,2.617,0.458,2.96,0.637,13.78938,-0.18432,1
PtI2-24b012f582bf,61.333,11.111,53,0.745,0.693,14.667,6.222,17,5.333,0.444,5,8,1.333,7,2.533,0.169,2.66,0.637,14.50611,0.09888,-1
BrClMo-af3df3405fbd,31.333,9.556,31.333,0.577,0.481,13.333,9.778,13.333,4,0.667,4,6.667,0.444,6.667,2.76,0.4,2.76,1.099,9.15674,-0.0982,1
MoCl2-84e1ede61f11,25.333,11.111,17,0.745,0.693,13.333,9.778,17,3.667,0.889,3,6.667,0.444,7,2.827,0.444,3.16,0.637,8.73591,-0.51964,1
O2Pt2-0647e70d53fa,43,35,43,0.707,0.63,13,6,13,4,2,4,8,2,8,2.86,0.58,2.86,0.693,14.18955,-0.22712,1
F2Zr2-2a7abcf1340e,24.5,15.5,24.5,0.707,0.63,10.5,13,10.5,3.5,1.5,3.5,5.5,1.5,5.5,2.655,1.325,2.655,0.693,8.58262,-2.30958,1
Au2Br2S2-5b24acd29ae7,43.333,23.778,43.333,0.577,0.481,14.667,4.889,14.667,4.333,1.111,4.333,8,2,8,2.693,0.178,2.693,1.099,19.76403,0.09408,-1
Ba2Cl2-0d91d7faf5e4,36.5,19.5,36.5,0.707,0.63,9.5,15,9.5,4.5,1.5,4.5,4.5,2.5,4.5,2.025,1.135,2.025,0.693,37.83987,-1.5131,1
Fe2Te4-a7af9b8d6acb,43.333,11.556,52,0.745,0.693,13.333,7.111,16,4.667,0.444,5,6.667,0.889,6,2.01,0.12,2.1,0.637,44.47615,0.27361,-1
N2Ti3-ab9592f73c20,16,7.2,22,0.721,0.654,8.4,10.56,4,3.2,0.96,4,4.4,0.48,4,2.14,0.72,1.54,0.673,7.86604,-0.9853,1
Nb2Cl4-2da21a5c4cbf,25,10.667,17,0.745,0.693,13,10.667,17,3.667,0.889,3,6.333,0.889,7,2.64,0.693,3.16,0.637,19.49823,-1.12796,1
HgI2-0ff7ee261fec,62,12,53,0.745,0.693,15.333,4.444,17,5.333,0.444,5,5.333,2.222,7,2.44,0.293,2.66,0.637,15.66414,-0.16769,1
NbSTe-2753f78356c5,36.333,13.556,36.333,0.577,0.481,12.333,9.778,12.333,4.333,0.889,4.333,5.667,0.444,5.667,2.093,0.329,2.093,1.099,10.77923,-0.72113,1
BrSbTe-f1e78a09001d,46,7.333,46,0.577,0.481,16,1.333,16,4.667,0.444,4.667,6,0.667,6,2.37,0.393,2.37,1.099,14.63507,-0.24721,1
ClINb-c7cb18a51cf0,37,13.333,37,0.577,0.481,13,10.667,13,4.333,0.889,4.333,6.333,0.889,6.333,2.473,0.582,2.473,1.099,10.20007,-0.45892,1
Br2Ga2O2-f06d0758fdea,24.667,11.111,24.667,0.577,0.481,15.333,3.111,15.333,3.333,0.889,3.333,5.333,1.556,5.333,2.737,0.618,2.737,1.099,13.1055,-1.36512,1
Re2I6-ab74d94dcd67,58.5,8.25,53,0.791,0.759,14.5,7.5,17,5.25,0.375,5,7,0,7,2.47,0.285,2.66,0.562,48.71631,0.35977,-1
Hf2Te2-3f378bca5260,62,10,62,0.707,0.63,10,12,10,5.5,0.5,5.5,5,1,5,1.7,0.4,1.7,0.693,16.74885,-0.25336,1
Cu2P2Se6-2fea4510ee45,29.2,5.76,34,0.663,0.614,14.8,3.04,16,3.8,0.32,4,6.8,1.68,6,2.348,0.242,2.55,0.95,33.5362,-0.08048,1
RhI2-559ee65940a6,50.333,3.556,53,0.745,0.693,14.333,7.111,17,5,0,5,7.667,0.889,7,2.533,0.169,2.66,0.637,12.79451,0.22989,-1
PtH2-9461b6cf4b61,26.667,34.222,1,0.745,0.693,4,8,1,2.667,2.222,1,4,4,1,2.227,0.036,2.2,0.637,6.9632,0.16685,-1
IrBr2-a276b43feac2,49,18.667,35,0.745,0.693,14.333,7.111,17,4.667,0.889,4,7.667,0.889,7,2.707,0.338,2.96,0.637,11.40348,0.64891,-1
Te2Ti2-ab4d9d152e7a,37,15,37,0.707,0.63,10,12,10,4.5,0.5,4.5,5,1,5,1.82,0.28,1.82,0.693,18.17188,-0.43183,1
P2Pd2Te6-4e0bbe4ec2b9,43.4,11.36,52,0.663,0.614,14.6,3.68,16,4.6,0.64,5,6.6,1.36,6,2.138,0.046,2.1,0.95,40.4131,-0.04978,1
N2Hf3-417738ee21ed,46,31.2,72,0.721,0.654,8.4,10.56,4,4.4,1.92,6,4.4,0.48,4,1.996,0.835,1.3,0.673,8.59342,-0.88003,1
AsHfSb-8389153c3db0,52,13.333,52,0.577,0.481,11.333,9.778,11.333,5,0.667,5,4.667,0.444,4.667,1.843,0.362,1.843,1.099,8.69878,-0.14467,1
NbF2-8b2a89f4bf26,19.667,14.222,9,0.745,0.693,13,10.667,17,3,1.333,2,6.333,0.889,7,3.187,1.058,3.98,0.637,7.55725,-2.16525,1
HgO2-42a532b9b8a2,32,32,8,0.745,0.693,14.667,3.556,16,3.333,1.778,2,4.667,1.778,6,2.96,0.64,3.44,0.637,14.979,0.54663,-1
Rh2Te4-9f9120938ee1,49.667,3.111,52,0.745,0.693,13.667,6.222,16,5,0,5,7,1.333,6,2.16,0.08,2.1,0.637,24.78494,-0.3444,1
Cl2Hf2-048380adb48d,44.5,27.5,44.5,0.707,0.63,10.5,13,10.5,4.5,1.5,4.5,5.5,1.5,5.5,2.23,0.93,2.23,0.693,16.00137,-0.4685,1
Mn2O2-e9f0f45a09de,16.5,8.5,16.5,0.707,0.63,11.5,9,11.5,3,1,3,6.5,0.5,6.5,2.495,0.945,2.495,0.693,10.70828,-0.63769,1
OsI2-1339ebcff68a,60.667,10.222,53,0.745,0.693,14,8,17,5.333,0.444,5,7.333,0.444,7,2.507,0.204,2.66,0.637,14.63471,0.84213,-1
Nb2Te2-0c91be8a5780,46.5,5.5,46.5,0.707,0.63,10.5,11,10.5,5,0,5,5.5,0.5,5.5,1.85,0.25,1.85,0.693,9.83539,0.20985,-1
SeTeZr-bb384009e73e,42,6.667,42,0.577,0.481,12,10.667,12,4.667,0.444,4.667,5.333,0.889,5.333,1.993,0.442,1.993,1.099,13.0632,-1.12883,1
Co2Te2-b175e1067088,39.5,12.5,39.5,0.707,0.63,12.5,7,12.5,4.5,0.5,4.5,7.5,1.5,7.5,1.99,0.11,1.99,0.693,14.20919,0.25267,-1
Ag2S2-ca95bca41f95,31.5,15.5,31.5,0.707,0.63,13.5,5,13.5,4,1,4,8.5,2.5,8.5,2.255,0.325,2.255,0.693,21.78015,0.06343,-1
Rh2Se2-416c3a2d6f7a,39.5,5.5,39.5,0.707,0.63,12.5,7,12.5,4.5,0.5,4.5,7.5,1.5,7.5,2.415,0.135,2.415,0.693,10.11088,-0.13753,1
Mo2W2Te8-c04fc052f2ca,54,6.667,52,0.707,0.674,12.667,8.889,16,5.167,0.278,5,6,0,6,2.153,0.071,2.1,0.868,43.64618,-0.207,1
F2In2-03fd837646b6,29,20,29,0.707,0.63,15,4,15,3.5,1.5,3.5,5,2,5,2.88,1.1,2.88,0.693,11.10725,-1.64001,1
CoBr2-02049cf3cf55,32.333,3.556,35,0.745,0.693,14.333,7.111,17,4,0,4,7.667,0.889,7,2.6,0.48,2.96,0.637,12.06214,-0.33807,1
P2V2Se6-fa02b8c9ddc4,28,7.2,34,0.663,0.614,13.6,6.88,16,3.8,0.32,4,5.6,0.48,6,2.294,0.307,2.55,0.95,35.29517,-0.362,1
Ag2Cl2N2-29a2e0ed5ebc,23.667,15.556,23.667,0.577,0.481,14.333,4.444,14.333,3.333,1.111,3.333,7.667,2.222,7.667,2.71,0.52,2.71,1.099,14.24918,0.96697,-1
Mn2Te2-ebdd550a1d50,38.5,13.5,38.5,0.707,0.63,11.5,9,11.5,4.5,0.5,4.5,6.5,0.5,6.5,1.825,0.275,1.825,0.693,16.72176,0.15479,-1
Hf2Te2-3d8cdaa4e035,62,10,62,0.707,0.63,10,12,10,5.5,0.5,5.5,5,1,5,1.7,0.4,1.7,0.693,11.9375,-0.05438,1
Br4Se4Zr4-6dacd5281333,36.333,2.444,36.333,0.577,0.481,12.333,11.111,12.333,4.333,0.444,4.333,5.667,1.111,5.667,2.28,0.633,2.28,1.099,46.4217,-1.31567,1
Bi2Te2-e8745fba5aa7,67.5,15.5,67.5,0.707,0.63,15.5,1,15.5,5.5,0.5,5.5,5.5,0.5,5.5,2.06,0.04,2.06,0.693,16.1608,0.08408,-1
Br4Hf4Se4-91b8ed303379,47,16.667,47,0.577,0.481,12.333,11.111,12.333,4.667,0.889,4.667,5.667,1.111,5.667,2.27,0.647,2.27,1.099,45.55541,-1.20699,1
CoO2-3efceb46b900,14.333,8.444,8,0.745,0.693,13.667,6.222,16,2.667,0.889,2,7,1.333,6,2.92,0.693,3.44,0.637,6.90272,-0.91323,1
VSe2-e768174fc1b1,30.333,4.889,34,0.745,0.693,12.333,9.778,16,4,0,4,5.667,0.444,6,2.243,0.409,2.55,0.637,9.60661,-0.6841,1
BrClV-572bd714b4d7,25,6.667,25,0.577,0.481,13,10.667,13,3.667,0.444,3.667,6.333,0.889,6.333,2.583,0.636,2.583,1.099,9.64841,-0.6756,1
Br2O2Zr2-8ad1af5c073f,27.667,13.111,27.667,0.577,0.481,12.333,11.111,12.333,3.667,1.111,3.667,5.667,1.111,5.667,2.577,0.831,2.577,1.099,15.59626,-2.29491,1
N3Ti4-f81f92865534,15.571,7.347,22,0.714,0.643,8.714,10.776,4,3.143,0.98,4,4.429,0.49,4,2.183,0.735,1.54,0.683,7.72148,-1.26397,1
As2-2cfe371476fd,33,0,33,1,1,15,0,15,4,0,4,5,0,5,2.18,0,2.18,0,11.27064,0.00509,-1
Ir2Cl6-8e4ef34c974b,32,22.5,17,0.791,0.759,15,6,17,3.75,1.125,3,7.5,0.75,7,2.92,0.36,3.16,0.562,32.5402,-0.5495,1
F2Ta2-3472bad93efb,41,32,41,0.707,0.63,11,12,11,4,2,4,6,1,6,2.74,1.24,2.74,0.693,7.42515,-1.80619,1
SbBr2-db7b6c4094e6,40.333,7.111,35,0.745,0.693,16.333,1.778,17,4.333,0.444,4,6.333,0.889,7,2.657,0.404,2.96,0.637,12.1177,-0.13128,1
Sc2Te2-1fd55e3ae6ef,36.5,15.5,36.5,0.707,0.63,9.5,13,9.5,4.5,0.5,4.5,4.5,1.5,4.5,1.73,0.37,1.73,0.693,18.71592,-0.85459,1
I2O2Sc2-4e9b068d07a4,27.333,17.111,27.333,0.577,0.481,12,12,12,3.667,1.111,3.667,5.333,1.556,5.333,2.487,0.751,2.487,1.099,14.89547,-2.58156,1
Cu2I6-26e54f1dcf5f,47,9,53,0.791,0.759,15.5,4.5,17,4.75,0.375,5,8,1.5,7,2.47,0.285,2.66,0.562,40.20803,0.05543,-1
F2Pb2-80918d6f39e4,45.5,36.5,45.5,0.707,0.63,15.5,3,15.5,4,2,4,5.5,1.5,5.5,2.925,1.055,2.925,0.693,12.87536,-1.42945,1
ReCl2-3f85f775ab0b,36.333,25.778,17,0.745,0.693,13.667,8.889,17,4,1.333,3,7,0,7,2.74,0.56,3.16,0.637,9.23172,0.14082,-1
I2S2Sn2-2106caae7b7c,39.667,15.778,39.667,0.577,0.481,15.667,2.222,15.667,4.333,0.889,4.333,5.667,1.111,5.667,2.4,0.293,2.4,1.099,21.92087,-0.35834,1
Co2Br6-a3381f5ec841,33,3,35,0.791,0.759,15,6,17,4,0,4,7.5,0.75,7,2.69,0.405,2.96,0.562,33.34197,-0.40577,1
Mn2Se2-1bb6292d4c42,29.5,4.5,29.5,0.707,0.63,11.5,9,11.5,4,0,4,6.5,0.5,6.5,2.05,0.5,2.05,0.693,14.47923,-0.45454,1
ZrI2-9c024b5a2e89,48.667,5.778,53,0.745,0.693,12.667,11.556,17,5,0,5,6,1.333,7,2.217,0.591,2.66,0.637,12.69741,-0.8815,1
NbBr2-bffea27f4b30,37,2.667,35,0.745,0.693,13,10.667,17,4.333,0.444,4,6.333,0.889,7,2.507,0.604,2.96,0.637,9.74778,-0.57785,1
V2S4-e3d2c0b7ce7a,18.333,3.111,16,0.745,0.693,12.333,9.778,16,3.333,0.444,3,5.667,0.444,6,2.263,0.422,2.58,0.637,35.21145,-0.23038,1
PtI2-ba73ff1224c0,61.333,11.111,53,0.745,0.693,14.667,6.222,17,5.333,0.444,5,8,1.333,7,2.533,0.169,2.66,0.637,16.69678,0.1542,-1
Rh2S2-b6bb3fec8a82,30.5,14.5,30.5,0.707,0.63,12.5,7,12.5,4,1,4,7.5,1.5,7.5,2.43,0.15,2.43,0.693,9.31834,-0.25091,1
Br2Zr2-842b657648e3,37.5,2.5,37.5,0.707,0.63,10.5,13,10.5,4.5,0.5,4.5,5.5,1.5,5.5,2.145,0.815,2.145,0.693,16.65698,-0.58372,1
GeS2-886d4d432874,21.333,7.111,16,0.745,0.693,15.333,1.778,16,3.333,0.444,3,5.333,0.889,6,2.39,0.253,2.58,0.637,9.89631,0.14054,-1
AgCl2-d27eadb159e5,27,13.333,17,0.745,0.693,15,5.333,17,3.667,0.889,3,8.333,1.778,7,2.75,0.547,3.16,0.637,14.68113,-0.2029,1
Hf2P2Te6-7f1a2cb6f0b2,48.6,13.44,52,0.663,0.614,13.4,7.52,16,4.8,0.72,5,5.4,0.72,6,1.958,0.263,2.1,0.95,45.27632,-0.3091,1
Cu2Br6-52732688def7,33.5,2.25,35,0.791,0.759,15.5,4.5,17,4,0,4,8,1.5,7,2.695,0.398,2.96,0.562,40.16759,-0.03978,1
I2Pb2-9c53dfa99cbb,67.5,14.5,67.5,0.707,0.63,15.5,3,15.5,5.5,0.5,5.5,5.5,1.5,5.5,2.265,0.395,2.265,0.693,15.4458,-0.1856,1
PbI2-9e6494406d07,62.667,12.889,53,0.745,0.693,16,2.667,17,5.333,0.444,5,6,1.333,7,2.397,0.351,2.66,0.637,17.55609,-0.61444,1
NiS2-7f181ff10955,20,5.333,16,0.745,0.693,14,5.333,16,3.333,0.444,3,7.333,1.778,6,2.357,0.298,2.58,0.637,8.54797,0.15065,-1
Rh2S2-9c8d6bff6d32,30.5,14.5,30.5,0.707,0.63,12.5,7,12.5,4,1,4,7.5,1.5,7.5,2.43,0.15,2.43,0.693,8.99208,-0.27823,1
OsF2-55cb8ea5bcf6,31.333,29.778,9,0.745,0.693,14,8,17,3.333,1.778,2,7.333,0.444,7,3.387,0.791,3.98,0.637,6.89568,-0.66487,1
WI2-c08ff928d685,60,9.333,53,0.745,0.693,13.333,9.778,17,5.333,0.444,5,6.667,0.444,7,2.56,0.133,2.66,0.637,12.49467,0.78269,-1
ZrSb2-71bb0089d46d,47.333,4.889,51,0.745,0.693,11.333,9.778,15,5,0,5,4.667,0.444,5,1.81,0.32,2.05,0.637,9.28469,-0.24109,1
Cu2Br6-d725eac1ffd0,33.5,2.25,35,0.791,0.759,15.5,4.5,17,4,0,4,8,1.5,7,2.695,0.398,2.96,0.562,36.37438,-0.13183,1
Cl2Nb2O2-3528526b0450,22,12.667,22,0.577,0.481,12.667,10.222,12.667,3.333,1.111,3.333,6,0.667,6,2.733,0.756,2.733,1.099,12.99856,-1.86162,1
C3Sc4-ebdc35e1cc66,14.571,7.347,21,0.714,0.643,7.714,10.776,3,3.143,0.98,4,3.429,0.49,3,1.87,0.583,1.36,0.683,10.02585,-0.3216,1
F2N3Hf4-0d67d0a8298c,36.333,31.704,72,0.598,0.514,10.556,11.654,4,3.778,1.975,6,5,0.889,4,2.476,1.045,1.3,1.061,9.01515,-2.07671,1
PbTe2-3407f5e37791,62,13.333,52,0.745,0.693,15.333,1.778,16,5.333,0.444,5,5.333,0.889,6,2.023,0.102,2.1,0.637,15.13763,0.1024,-1
S2Sn2-7a8373382b33,33,17,33,0.707,0.63,15,2,15,4,1,4,5,1,5,2.27,0.31,2.27,0.693,17.5747,-0.41485,1
Au2I4-704bfcb472d4,61.667,11.556,53,0.745,0.693,15,5.333,17,5.333,0.444,5,8.333,1.778,7,2.62,0.053,2.66,0.637,32.01436,0.04008,-1
Pb2Te6-3995fa1bee6e,59.5,11.25,52,0.791,0.759,15.5,1.5,16,5.25,0.375,5,5.5,0.75,6,2.043,0.086,2.1,0.562,30.61502,-0.08188,1
TaI2-e930adc19029,59.667,8.889,53,0.745,0.693,13,10.667,17,5.333,0.444,5,6.333,0.889,7,2.273,0.516,2.66,0.637,12.94308,0.33332,-1
Sb2Cl6-8714248fe8d7,25.5,12.75,17,0.791,0.759,16.5,1.5,17,3.5,0.75,3,6.5,0.75,7,2.883,0.416,3.16,0.562,49.5681,-0.91174,1
O2Tl2-dc07e4d1b5e5,44.5,36.5,44.5,0.707,0.63,14.5,3,14.5,4,2,4,4.5,1.5,4.5,2.53,0.91,2.53,0.693,11.30471,-0.47906,1
Sc2Br6-a43351c43cd3,31.5,5.25,35,0.791,0.759,13.5,10.5,17,4,0,4,6,1.5,7,2.56,0.6,2.96,0.562,43.91775,-1.69765,1
FeTe2-d98b0a15009e,43.333,11.556,52,0.745,0.693,13.333,7.111,16,4.667,0.444,5,6.667,0.889,6,2.01,0.12,2.1,0.637,11.0336,-0.02573,1
Mn2Te2-852d26327f43,38.5,13.5,38.5,0.707,0.63,11.5,9,11.5,4.5,0.5,4.5,6.5,0.5,6.5,1.825,0.275,1.825,0.693,14.1402,0.02993,-1
BiITe-2d41b3dd1772,62.667,13.556,62.667,0.577,0.481,16,1.333,16,5.333,0.444,5.333,6,0.667,6,2.26,0.267,2.26,1.099,16.93362,-0.37083,1
OsSe2-f19648678634,48,18.667,34,0.745,0.693,13.333,7.111,16,4.667,0.889,4,6.667,0.889,6,2.433,0.156,2.55,0.637,9.4823,0.23652,-1
Pb2Se2-92c17785fc98,58,24,58,0.707,0.63,15,2,15,5,1,5,5,1,5,2.21,0.34,2.21,0.693,22.49986,-0.22027,1
Mn2O2-b2c73ae37da5,16.5,8.5,16.5,0.707,0.63,11.5,9,11.5,3,1,3,6.5,0.5,6.5,2.495,0.945,2.495,0.693,7.5303,-0.98557,1
