id,mean_Z,del_Z,mode_Z,L2_norm,L3_norm,mean_grp,del_grp,mode_grp,mean_period,del_period,mode_period,mean_valelec,del_valelec,mode_valelec,mean_electroneg,del_electroneg,mode_electroneg,stoichio_entropy,cell_area,hform,label
CaF2-9632fda9fd46,12.667,4.889,9,0.745,0.693,12,13.333,17,2.667,0.889,2,5.333,2.222,7,2.987,1.324,3.98,0.637,15.11423,-3.72122,1
MnTe2-2430fc2797f4,43,12,52,0.745,0.693,13,8,16,4.667,0.444,5,6.333,0.444,6,1.917,0.244,2.1,0.637,16.33427,0.17938,-1
C2F2Ti3-f3bb81b9399e,13.714,7.102,22,0.589,0.5,10.571,11.265,4,2.857,0.98,4,4.857,1.224,4,2.526,0.845,1.54,1.079,8.16002,-1.86042,1
Nb2Te4-09c280e44719,48.333,4.889,52,0.745,0.693,12.333,9.778,16,5,0,5,5.667,0.444,6,1.933,0.222,2.1,0.637,51.00035,0.38153,-1
F2N3Nb4-8159bf5bd265,22.556,16.395,41,0.598,0.514,11,10.667,5,3.333,1.481,5,5.444,0.691,5,2.609,0.897,1.6,1.061,8.86523,-1.5063,1
S2V2-adad9799de05,19.5,3.5,19.5,0.707,0.63,10.5,11,10.5,3.5,0.5,3.5,5.5,0.5,5.5,2.105,0.475,2.105,0.693,12.64062,-0.59014,1
Ru2Se2-dfa26a1b202d,39,5,39,0.707,0.63,12,8,12,4.5,0.5,4.5,7,1,7,2.375,0.175,2.375,0.693,11.85186,0.12375,-1
NZr2-e6af0cbbd73b,29,14.667,40,0.745,0.693,7.667,9.778,4,4,1.333,5,4.333,0.444,4,1.9,0.76,1.33,0.637,9.05595,-0.54416,1
Nb2Te2-b256591bbcf6,46.5,5.5,46.5,0.707,0.63,10.5,11,10.5,5,0,5,5.5,0.5,5.5,1.85,0.25,1.85,0.693,10.12939,0.19956,-1
Nb2O2-63e4447584bc,24.5,16.5,24.5,0.707,0.63,10.5,11,10.5,3.5,1.5,3.5,5.5,0.5,5.5,2.52,0.92,2.52,0.693,13.58641,-0.9678,1
I2Ir2S2-3b5f1a6b5904,48.667,21.778,48.667,0.577,0.481,14,6.667,14,4.667,1.111,4.667,7.333,1.111,7.333,2.48,0.187,2.48,1.099,17.26794,-0.2649,1
AsTe2-d5fd1ce75978,45.667,8.444,52,0.745,0.693,15.667,0.889,16,4.667,0.444,5,5.667,0.444,6,2.127,0.036,2.1,0.637,12.75162,0.09625,-1
ClINb-e36a158959eb,37,13.333,37,0.577,0.481,13,10.667,13,4.333,0.889,4.333,6.333,0.889,6.333,2.473,0.582,2.473,1.099,10.40742,-0.51714,1
SeTeZr-dd69b684c867,42,6.667,42,0.577,0.481,12,10.667,12,4.667,0.444,4.667,5.333,0.889,5.333,1.993,0.442,1.993,1.099,12.57154,-1.01734,1
GaH2O2-b42b47e92444,9.8,8.48,1,0.6,0.514,9.4,13.44,1,2,0.8,1,3.4,2.08,1,2.618,0.658,2.2,1.055,10.10908,-0.94925,1
Ti2Zr2Te8-18e377cce57f,45,9.333,52,0.707,0.674,12,10.667,16,4.833,0.278,5,5.333,0.889,6,1.878,0.296,2.1,0.868,50.89322,-0.67979,1
Re4Te8-7c1336422fd2,59.667,10.222,52,0.745,0.693,13,8,16,5.333,0.444,5,6.333,0.444,6,2.033,0.089,2.1,0.637,44.58038,-0.09219,1
HfTi3S8-fde2d81d10df,22.167,8.306,16,0.717,0.679,12,10.667,16,3.5,0.667,3,5.333,0.889,6,2.213,0.489,2.58,0.824,40.07878,-1.21075,1
CoH2-147322a7b37f,9.667,11.556,1,0.745,0.693,3.667,7.111,1,2,1.333,1,3.667,3.556,1,2.093,0.142,2.2,0.637,5.15233,0.10382,-1
Cl2O2V2-4e3d1f7b433a,16,5.333,16,0.577,0.481,12.667,10.222,12.667,3,0.667,3,6,0.667,6,2.743,0.742,2.743,1.099,12.94171,-1.80934,1
I2In2-9ab97b2e26fc,51,2,51,0.707,0.63,15,4,15,5,0,5,5,2,5,2.22,0.44,2.22,0.693,17.38464,-0.40286,1
Ge2-bbbd76379a3d,32,0,32,1,1,14,0,14,4,0,4,4,0,4,2.01,0,2.01,0,14.18335,0.50231,-1
ScSe2-696722901211,29.667,5.778,34,0.745,0.693,11.667,11.556,16,4,0,4,5,1.333,6,2.153,0.529,2.55,0.637,12.95211,-1.1729,1
Cl4O4Zr4-3ee9f2e250cc,21.667,12.222,21.667,0.577,0.481,12.333,11.111,12.333,3.333,1.111,3.333,5.667,1.111,5.667,2.643,0.876,2.643,1.099,37.42714,-2.347,1
C2H2O2Sc3-edec400d49c7,10.333,7.111,21,0.509,0.412,7.889,12.642,3,2.444,1.037,4,3.444,1.383,3,2.273,0.641,1.36,1.369,9.7339,-1.19265,1
CuTe2-b65f7e1f88f2,44.333,10.222,52,0.745,0.693,14.333,4.444,16,4.667,0.444,5,7.667,2.222,6,2.033,0.089,2.1,0.637,13.2795,0.13594,-1
BaBr2-1a59eff92917,42,9.333,35,0.745,0.693,12,13.333,17,4.667,0.889,4,5.333,2.222,7,2.27,0.92,2.96,0.637,19.06792,-2.09907,1
